name,furigana_name,furigana_initial,prefecture_name,commentary,image,user_id
秋田実季,あきたさねすえ,あ行,,安東愛季の子。父の死後１２歳で家督相続。南部氏や小野寺氏と度々合戦に及んだが、領地を守り抜いた。関ヶ原合戦での不手際により減封処分となった。,akitaougi-b.png,1
秋月種実,あきづきたねざね,あ行,,秋月文種の子。旧領を奪回し、秋月家第１６代を継承。秀吉の九州征伐の際、島津家に荷担。敗戦後「楢柴茶入」を秀吉に献上して当家の処分を転封に抑えた。,akidukinadeshiko-b.png,1
秋元長朝,あきもとながとも,あ行,,深谷上杉家臣。小田原征伐では豊臣の大軍を相手に深谷城を守りきる。のち徳川家康に仕える。関ヶ原合戦後、上杉景勝に降伏を勧告し、受け入れさせた。,akimotoka-b.png,1
秋山信友,あきやまのぶとも,あ行,,武田家臣。主に伊那衆を統率する。徳川家康をして「武田軍の猛牛」と言わせた猛将。岩村城に篭もり、信長の侵攻軍と戦うが、捕虜となり、処刑される。  ,sankaibishi-b.png,1
明智光秀,あけちみつひで,あ行,,織田家に仕官し、重用される。１５８２年、謀叛を起こし、主君・信長を本能寺に討つ。しかし、事後調略に失敗し、逆臣として羽柴秀吉に山崎で討たれた。,mizuirokikyou-b.png,1
浅井長政,あざいながまさ,あ行,,信長の妹・市を娶り、同盟を結ぶ。しかし、古くから結んでいた朝倉家との同盟をとり、信長に敵対する。抗戦３年、市と娘を信長に託し、小谷城で自害した。,mitsumorikikkounihanabishi-b.png,1
朝倉義景,あさくらよしかげ,あ行,,朝倉家最後の当主。決断力に欠け、大局を見る目が無かった。家臣は次々と信長に投降し、最後には一族にも裏切られて自害した。  ,mitsumorimokkou-b.png,1
浅野長政,あさのながまさ,あ行,,秀吉子飼いの将。吏僚としてその手腕を発揮、豊臣政権成立後は五奉行の筆頭となる。秀吉の死後、石田三成と対立して豊臣家を退転、以後は徳川家についた。  ,chigaitakanoha-b.png,1
浅野幸長,あさのよしなが,あ行,,浅野長政の子。文武に秀で、父を上回る器量の持ち主といわれた。関ヶ原の合戦では東軍に属し、その功により紀伊和歌山城主となる。大坂冬の陣直前に病死。  ,asanotakanoha-b.png,1
足利義昭,あしかがよしあき,あ行,,室町幕府１５代将軍。信長の後援で即位したが、傀儡同然であった。信長を打倒すべく、「信長包囲網」を敷く。兵を挙げるも失敗、京都を追放された。,ashikagafutatsuhiki-b.png,1
足利義輝,あしかがよしてる,あ行,,室町幕府１３代将軍。失われた幕府の権威を取り戻すため、奔走する。新将軍擁立を企む松永久秀らに二条御所を急襲され、孤軍奮闘の末、討死した。,ashikagafutatsuhiki-b.png,1
蘆名盛氏,あしなもりうじ,あ行,,蘆名家第１６代。同盟戦略を駆使し、会津一円から北越後に及ぶ広大な版図を築く。蘆名家を伊達家と並ぶ奥州屈指の大名に育て上げた。,marunimitsuhiki-b.png,1
阿蘇惟豊,あそこれとよ,あ行,,岩尾城主。大宮司惟憲の子。惟将の父。阿蘇家の先祖は神武天皇の直系という名門である。その後継者を巡る内紛に大友家が乗じ、阿蘇家はその傘下となる。  ,chigaitakanoha-b.png,1
阿蘇惟将,あそこれまさ,あ行,,阿蘇大宮司。大友家との友好関係を保ちながら、時に応じて島津家あるいは、龍造寺家と結んだ。こうした巧みな外交によって領国を保持した。  ,chigaitakanoha-b.png,1
穴山梅雪,あなやまばいせつ,あ行,,武田家臣。一門衆の筆頭格。合戦ではおもに本陣を守った。武田家滅亡後は、徳川家康に降る。本能寺の変を知り、堺から本国へ帰る途中で何者かに討たれた。,mitsumorihanabishi-b.png,1
尼子経久,あまごつねひさ,あ行,,出雲守護代であったが、所領押領の罪で解任される。その後、浪人の身から山陰山陽１１カ国の太守にまで出世し、「下剋上の先駆者」と言われた。,hirayotsume-b.png,1
有馬豊氏,ありまとようじ,あ行,,則頼の嫡男。初め豊臣秀吉、後に徳川家康に仕える。関ヶ原合戦・大坂の陣で活躍し、大坂の陣後筑後久留米二十一万石に封ぜられる。島原の乱にも参戦した。  ,arimatomoe-b.png,1
有馬晴純,ありまはるずみ,あ行,,有馬家第１１代。周防の大内家と結んで勢力を拡大、西肥前の大半を支配下に置く。その後肥前守護に任命され、安定した支配体制を作り上げた。,gokanikarahana-b.png,1
有馬晴信,ありまはるのぶ,あ行,,肥前のキリシタン大名。島津氏と組み、沖田畷で宿敵・龍造寺隆信を討つ。動乱の時代を見事な政治手腕で乗り切ったが「岡本大八事件」により斬罪となった。  ,gokanikarahana-b.png,1
安国寺恵瓊,あんこくじえけい,あ行,,安芸守護・武田家の末裔。毛利家の外交僧として周辺列強との折衝に奔走する。関ヶ原合戦に首謀者の１人として荷担、敗北後、京の六条河原で斬首された。,takedahishi-b.png,1
井伊直政,いいなおまさ,あ行,,徳川四天王の１人。軍装を赤で統一した軍団は「井伊の赤鬼」と恐れられ、常に先鋒を争う。関ヶ原合戦で島津軍を追撃中に撃たれ、その傷が因で他界した。,hikonetachibana-b.png,1
池田恒興,いけだつねおき,あ行,,信長の乳兄弟であった関係から、つねに信長に近侍する。本能寺の変後は織田家四宿老の一人となるが、小牧・長久手の合戦に秀吉側について出陣し戦死した。  ,agehachou-b.png,1
池田輝政,いけだてるまさ,あ行,,織田信長の近習として武功多数。信長没後は豊臣家に仕えるが、関ヶ原の合戦では東軍に属した。その後、徳川政権下で播磨国姫路５３万石に封ぜられる。,agehachou-b.png,1
石川数正,いしかわかずまさ,あ行,,徳川氏家老。西三河衆を率い、外交交渉で活躍する。小牧長久手の合戦後、豊臣秀吉との和睦を主張したために他の家臣らと対立し、秀吉のもとへと出奔した。  ,ishikawarindou-b.png,1
石田三成,いしだみつなり,あ行,,羽柴秀吉の懐刀として辣腕を振るう。秀吉の死後、徳川家康と関ヶ原で戦う。人望のない三成は諸将の統制がとれずに敗北し、京都六条河原で斬首された。  ,daiichidaikichidaiman-b.png,1
伊集院忠棟,いじゅういんただむね,あ行,,島津家臣。豊臣秀吉の九州遠征軍に敗北後、その人質となる。秀吉の覚えめでたく、陪臣ながら主家と対等の待遇を受けるが、島津忠恒に謀殺された。  ,marunimitsujuuji-b.png,1
板倉勝重,いたくらかつしげ,あ行,,徳川家臣。家康の元で駿府や江戸などの町奉行を歴任。１６０１年より京都所司代に就任し、朝廷・公家・西国諸大名を監視、支配強化を推し進めた。,itakuratomoe-b.png,1
一色義幸,いっしきよしゆき,あ行,,一色義道の父。一色家は、室町幕府において「四職」の１つを務めた名家。丹後国の覇権を巡って、若狭武田家との抗争に明け暮れた。,marunouchinifutatsuhiki-b.png,1
伊東長実,いとうながざね,あ行,,豊臣家臣。日向伊東氏の遠い一族で、流浪の伊東祐兵を保護した。大坂の陣では七手組組頭として大坂城に籠もるが、敗戦後、許されて徳川家に仕えた。,itouinaduma-b.png,1
稲葉一鉄,いなばいってつ,あ行,,美濃三人衆の１人。信長の美濃侵攻軍に内応し、家臣となる。姉川合戦では浅井軍の横腹を突き、味方を勝利に導いた。頑固な性格は「一徹者」の語源になる。,oshikinisanmoji2-b.png,1
今川義元,いまがわよしもと,あ行,,「海道一の弓取り」と謳われた三河・遠江・駿河の三国の支配者。武田・北条と同盟を結び、上洛する途中、桶狭間で信長の奇襲に命を落とす。  ,imagawaakatori-b.png,1
上杉景勝,うえすぎかげかつ,あ行,,上杉謙信の養子。父は長尾政景。謙信没後、同じく養子であった景虎を滅ぼし、家督を継ぐ。関ヶ原の合戦では西軍に呼応、会津で最上・伊達連合軍と戦った。  ,uesugizasa-b.png,1
上杉謙信,うえすぎけんしん,あ行,,戦国最強と謳われた「越後の龍」。関東管領職に就くと、上杉謙信を名乗った。義心が篤く、領土欲を持たないため、版図拡大の兵は起こさなかったという。  ,uesugizasa-b.png,1
上杉憲政,うえすぎのりまさ,あ行,,北条氏康と何度となく戦い、そのたびに敗れた。北条軍に平井城を攻め落とされると越後の長尾景虎のもとに敗走し、世襲してきた関東管領職と姓を譲渡した。  ,uesugizasa-b.png,1
宇喜多直家,うきたなおいえ,あ行,,浦上宗景に仕えて勢力を拡大し、ついには主君を追放して備前一国の支配権を掌握する。その一生を、裏切りや奸計、謀略の中で過ごした稀代の謀将。  ,jinukikokumochinikomoji-b.png,1
宇喜多秀家,うきたひでいえ,あ行,,直家の嫡男。幼い頃から秀吉の寵愛を受け、五大老の１人にまで出世する。その恩義から関ヶ原合戦では西軍の主力として奮戦、戦後は八丈島へ配流となった。,kenkatabami-b.png,1
宇佐美定満,うさみさだみつ,あ行,,上杉謙信の臣。越後流軍学の祖である。謙信と長尾政景の同盟成立に一役買う。北条氏邦との戦いで戦死、または政景と舟遊び中に溺死したという。  ,mitsumoriheishi-b.png,1
宇都宮広綱,うつのみやひろつな,あ行,,宇都宮家２２代。妻の生家にあたる佐竹家の支援を受けて、下野国内の反宇都宮勢力を屈伏させる。越後の上杉家と結んで、北進する北条勢に対抗した。,migimitsutomoe-b.png,1
浦上宗景,うらがみむねかげ,あ行,,浦上村宗の子。兄・政宗と骨肉の争いを続け、また赤松・尼子の侵入を受けながらも備前での支配権を拡大。しかし、家臣の宇喜多直家によって国を追われた。  ,hiougi-b.png,1
遠藤慶隆,えんどうよしたか,あ行,,美濃国郡上城主。小牧・長久手合戦で、織田信雄への内通を疑われ、所領を減封された。のち、関ヶ原で東軍についたため、家康に旧領を復すことを許された。  ,kikkouhanabishi-b.png,1
大内義隆,おおうちよしたか,あ行,,周防・長門・豊前・筑前・石見・安芸の守護。学問・芸能に通じた文化人で、大陸との貿易も進めた。陶晴賢ら重臣の謀叛によって山口を追われ、自害した。  ,oouchihishi-b.png,1
大久保忠佐,おおくぼただすけ,あ行,,徳川家臣。忠員の次男。兄・忠世とともに各地で戦功を立てる。その剛勇ぶりは織田信長をも賞嘆させるほどであった。関ヶ原合戦後、駿河沼津２万石を領す。,ookubofuji-b.png,1
大久保忠世,おおくぼただよ,あ行,,徳川家康に独立前から従い、弟・忠佐との連係で多くの軍功をあげる。清貧剛直の士である一方、一度背いた家臣の復帰を家康に取りなす寛容さも備えていた。  ,ookubofuji-b.png,1
大久保彦左衛門,おおくぼひこざえもん,あ行,,徳川家臣。忠員の子。通称・彦左衛門。高天神城攻めで、岡部元信を討ち取る。多くの浪人を保護し、義侠の士と慕われた。晩年には「三河物語」を著した。,ookubofuji-b.png,1
大谷吉継,おおたによしつぐ,あ行,,石田三成の親友。関ヶ原合戦の際には三成を諌めたが、三成の決意が固いことを知り、味方となる。最後まで奮闘したが衆寡敵せず、自刃した。  ,mukaichou-b.png,1
太田康資,おおたやすすけ,あ行,,太田資高の子。父と共に北条家に内応したが、北条氏康の処遇に不満を持ち、里見氏に寝返った。以後は北条家と戦う。三十人力の豪傑であったと伝えられる。  ,ootakikyou-b.png,1
大友宗麟,おおともそうりん,あ行,,大友家２１代当主。義鑑の子。のち宗麟と号す。最盛期には九州６ヶ国を領したが、耳川合戦で島津軍に敗れて家臣を多数失い、以後は没落の一途をたどった。,dakihanagyouyou-b.png,1
大野治長,おおのはるなが,あ行,,豊臣家臣。片桐且元が大坂城を去ったのちは、大坂方の中心人物となる。大坂冬夏の陣では、軍議の主導権を握った。大坂落城の際に、豊臣秀頼に殉じた。  ,marunimitsuuroko-b.png,1
大野治房,おおのはるふさ,あ行,,治長の弟。豊臣秀頼に仕える。大坂の陣における主戦派の中心人物の一人。夏の陣後、秀頼の子・国松丸を擁して大坂城を脱出するが、捕らわれて斬首された。  ,marunimitsuuroko-b.png,1
大村純忠,おおむらすみただ,あ行,,有馬晴純の子。大村純前の養嗣子となり家督を継ぐ。ポルトガル貿易のため長崎を開港した。日本初のキリシタン大名であり、天正少年使節の派遣でも有名。  ,oomuraka-b.png,1
小笠原長時,おがさわらながとき,あ行,,信濃守護。合戦には強いが傲岸不遜の性格のため、武田氏との決戦・塩尻峠の戦いで家臣に裏切られ、敗北。その後は各地を転々とし、会津の地で客死した。  ,sankaibishi-b.png,1
織田信雄,おだのぶかつ,あ行,,信長の次男。伊勢国司・北畠家の養子となり、家督を継ぐ。本能寺の変後は豊臣家に従属した。小田原征伐後、徳川家康の旧領への転封を拒否し、改易された。,odaka-b.png,1
織田信忠,おだのぶただ,あ行,,織田信長の嫡男。１６歳で初陣、松永久秀討伐や甲斐平定などに軍功を上げる。信長の後継者として期待されていたが、本能寺の変の際、二条御所で自刃した。,odaka-b.png,1
織田信長,おだのぶなが,あ行,,その先見の明をもって、尾張国の小大名から覇王の座に手を掛けるまでに上り詰めた男。家臣・明智光秀の謀叛により、本能寺にて無念の横死を遂げる。  ,odaka-b.png,1
飯富虎昌,おぶとらまさ,あ行,,「甲山の猛虎」と呼ばれた武田家中随一の猛将。軍装を赤で統一した精鋭部隊を率いた。信玄の長男・義信の謀叛疑惑の罪を一身に背負い、自刃して果てた。  ,tsukinihoshi-b.png,1
柿崎景家,かきざきかげいえ,か行,,上杉謙信に「越後七郡で彼にかなう者はいない」と言わせた、上杉家中随一の猛将。小田原攻め・川中島合戦などで、上杉軍の主力として活躍した。  ,kuyou-b.png,1
葛西晴信,かさいはるのぶ,か行,,陸奥寺池城主。伊達家と結び、大崎義隆を二度破る。豊臣秀吉の小田原攻めの際に、参陣しなかった罪を問われて所領を没収された。その後、消息不明になる。  ,mitsukashiwa-b.png,1
片桐且元,かたぎりかつもと,か行,,賎ヶ岳七本槍の１人。秀頼の後見人に指名され、豊臣家存続のため奔走するが、家康への内通を淀殿に疑われて大坂城を退去した。大坂落城後、間もなく死去。,katagiritakanoha-b.png,1
片倉景綱,かたくらかげつな,か行,,智略に秀で、伊達成実と共に政宗の股肱として名を馳せた。合理的かつ冷静な判断は常に主家を第一と考えてのもので、後の伊達家安泰の礎ともいえる。  ,katakurafuji-b.png,1
加藤清正,かとうきよまさ,か行,,賎ヶ岳七本槍の１人。羽柴秀吉に仕え、数々の戦で軍功を上げた。しかし、関ヶ原合戦では、石田三成との確執から徳川方について戦った。,janome-b.png,1
加藤光泰,かとうみつやす,か行,,斎藤龍興、豊臣秀吉に仕え、浅井攻め・播磨三木城攻めで功を立てた。小田原征伐ののち甲府城主となる。文禄の役では朝鮮に渡ったが、日本への帰途で病没。  ,agarifuji-b.png,1
加藤嘉明,かとうよしあきら,か行,,賎ヶ岳七本槍の１人。生来ものに驚く事がないという沈勇の士で、焼け火箸をそれと知らずに握り、手から煙が立つのも平気で話をしたという逸話がある。,sagarifuji-b.png,1
可児才蔵,かにさいぞう,か行,,宝蔵院胤栄に槍術を学んだ豪傑。関ヶ原の合戦では、あげた首級に笹を噛ませてしゃにむに突進。１７個の首をとり、以来「笹の才蔵」の異名をとった。,marunichigaisasanoha-b.png,1
蒲生氏郷,がもううじさと,か行,,蒲生賢秀の子。信長に才を認められ、信長の娘を娶る。信長没後は羽柴秀吉に仕え、会津九十二万石を領した。文武に秀でたその器量を、秀吉は恐れたという。  ,gamoumukaiduru-b.png,1
木曽義昌,きそよしまさ,か行,,信濃木曾谷の豪族。義康の嫡男。武田信玄の娘を娶る。のち織田信長に通じ、武田家滅亡の原因を作った。本能寺の変後は徳川家康に属し、下総に転封された。,sasarindou-b.png,1
北畠具教,きたばたけとものり,か行,,伊勢国司。信長の伊勢侵攻の際には、大河内城に篭城して善戦したが、信長の次男・信雄を養子とする条件で降伏。隠居したが、信雄の刺客によって殺された。  ,sasarindou-b.png,1
吉川広家,きっかわひろいえ,か行,,元春の三男。関ヶ原では東軍勝利の陰の立役者となる。毛利宗家が断絶の危機を迎えた際、広家の外交工作で改易を免れたが、家中では裏切り者と非難された。  ,mitsuhikiryou-b.png,1
吉川元春,きっかわもとはる,か行,,毛利元就の次男で、山陰地方の攻略を担当した。参加した合戦は負け知らずである反面、陣中で「太平記」全四十巻を写本したという文武両道の武将。  ,mitsuhikiryou-b.png,1
京極高次,きょうごくたかつぐ,か行,,浅井家滅亡後に織田家に仕えるが、本能寺の変で明智方につく。妹を豊臣秀吉の側室とし、お市の方の二女・お初を娶る閨閥政略で、京極家の復興に努めた。  ,hirayotsume-b.png,1
九鬼嘉隆,くきよしたか,か行,,織田家臣。木津川口合戦で織田軍が敗退した後、鉄甲船「大安宅船」を建造して毛利水軍を粉砕する。その功で大名に出世し、「海賊大名」の異名を取った。  ,santoumigidomoe-b.png,1
黒田官兵衛,くろだかんべえ,か行,,はじめは信長に仕官するが、やがて羽柴秀吉の配下となり、中国平定軍に参陣する。野望も高く、秀吉の天下統一事業の裏には必ず彼の姿があったという。  ,kurodafuji-b.png,1
黒田長政,くろだながまさ,か行,,黒田官兵衛の嫡子。賎ヶ岳合戦や朝鮮征伐などで武功を立てた。関ヶ原合戦では東軍の勝利に大きく寄与し、その功により筑前福岡に５２万石の大封を得た。,kurodafujidomoe-b.png,1
高坂昌信,こうさかまさのぶ,か行,,武田四名臣の１人。その冷静沈着さから「逃げ弾正」の異名をとり、作戦・用兵術は武田軍随一といわれた。要衝・海津城を預かり、上杉軍に睨みをきかせた。,kuyou-b.png,1
河野通直,こうのみちなお,か行,,伊予守。長宗我部元親の侵攻を受け、その臣下となる。豊臣秀吉の四国征伐の際は長宗我部方として戦ったが、降伏。所領を没収され、河野家は滅亡した。  ,oshikiniyuresanmoji-b.png,1
後藤又兵衛,ごとうまたべえ,か行,,黒田官兵衛・長政の二代に仕える。侍大将として功をあげるが、謀叛の嫌疑を受けて浪人となる。大坂冬・夏の陣では豊臣方の大将として奮戦、戦死した。  ,sagarifuji-b.png,1
小西行長,こにしゆきなが,か行,,宇喜多家、のちに豊臣家に仕える。水軍の指揮に長け、肥後半国を領するに至った。関ヶ原では西軍に属すが敗北。キリシタンゆえ切腹を拒否し、斬首された。  ,nakayuigionmamori-b.png,1
小早川隆景,こばやかわたかかげ,か行,,毛利元就の三男で、山陽地方の攻略を担当した。本能寺の変後は豊臣秀吉に接近し、豊臣政権下で大老まで務めた。しかし、毛利宗家には忠誠を誓い続けた。  ,santoumigidomoe-b.png,1
小早川秀秋,こばやかわひであき,か行,,秀吉の正室・寧子の甥で、小早川隆景の養子となる。関ヶ原合戦の際に西軍から東軍に寝返り、東軍を勝利へ導いたが、そのわずか２年後に病死した。,santoumigidomoe-b.png,1
雑賀孫市,さいがまごいち,さ行,,紀伊の豪族。佐大夫重意の子。通称「雑賀孫市」。雑賀の鉄砲衆を率いて石山本願寺に入り、織田信長の軍を苦しめた。石山開城後は豊臣秀吉に仕えたという。,yatagarasu-b.png,1
斎藤道三,さいとうどうさん,さ行,,「蝮」の異名を取った梟雄。京都妙覚寺の僧から油売りの商人に身を転じ、ついには美濃一国の太守となった。しかし、子・義龍との戦いで敗れ、討たれた。  ,nitoutatsunami-b.png,1
斎藤朝信,さいとうとものぶ,さ行,,上杉謙信に従って越中・下野攻めなどに参戦、「越後の鐘馗」の異名を取った。謙信の死後は景勝に属した。猛将でありながら、行政手腕にも優れていた。  ,chikiri-b.png,1
酒井忠次,さかいただつぐ,さ行,,徳川氏覇業の元老。家康の教育係でもあった。家康の成人後は東三河衆を率いて各地を転戦、数々の軍功をあげる。その器量は豊臣秀吉にも称賛された。  ,katabami-b.png,1
榊原康政,さかきばらやすまさ,さ行,,徳川四天王の１人。「無」の旗を掲げて戦場を疾駆した。関ヶ原合戦後、長年の功により老中に任命されるが、「老臣権を争うは亡国の兆し」と辞退した。,sakakibaragenjiguruma-b.png,1
相良義陽,さがらよしひ,さ行,,父・晴広の死後、祖父・上村頼興の後見で弱冠１２歳で家督を継ぐ。二度の家中争乱を乗り切って、島津軍と戦ったが、１５８１年、同家に屈する。,kenumebachi-b.png,1
佐竹義重,さたけよししげ,さ行,,父・義昭の遺志を継ぎ、常陸全土の統一を果たした。南の北条・北の伊達を敵に回し、自ら陣頭に立って采配を振るう姿は、「鬼義重」と恐れられた。  ,hinomaruougi-b.png,1
佐竹義宣,さたけよしのぶ,さ行,,「鬼義重」と呼ばれた父の薫陶を受けて育ち、家康に「今の世に稀な律儀者」と評された。関ヶ原合戦では過去の恩義から西軍に属し、戦後秋田へ移封となる。  ,hinomaruougi-b.png,1
佐々成政,さっさなりまさ,さ行,,信長の黒母衣衆として活躍。本能寺の変後は、羽柴秀吉に最後まで抵抗するも降伏、肥後に移封となる。その後、国人一揆が発生し、責任をとって自刃した。  ,nanatsuwarisumitateyotsume-b.png,1
里見義堯,さとみよしたか,さ行,,房総の戦国大名。父・実堯を殺した従兄弟・義豊を討ち、当主となる。国府台合戦では北条氏康に敗れたが、その後も房総に勢力を広げ、北条家と戦い続けた。,marunifutatsuhiki-b.png,1
里見義弘,さとみよしひろ,さ行,,義尭の長男。太田資正らと結んで国府台で北条氏康と戦ったが、敗北を喫した。しかし、御船山合戦では勝利をおさめ、父の死後に北条家と和睦した。  ,marunifutatsuhiki-b.png,1
真田信之,さなだのぶゆき,さ行,,昌幸の長男。徳川家臣・本多忠勝の娘を娶った縁から、関ヶ原合戦では父や弟と別れて東軍に属す。その後も徳川家に忠節を尽くし、真田家の存続に尽力した。,sanadarokumonsen-b.png,1
真田昌幸,さなだまさゆき,さ行,,秀吉をして「表裏比興の者」と言わしめた戦国稀代の謀将。攻め寄せる徳川の大軍を二度も見事に撃退。その智略には家康さえも恐怖した。  ,sanadarokumonsen-b.png,1
真田幸隆,さなだゆきたか,さ行,,真田家の始祖。智謀は武田信玄より勝ったといわれ、信玄が二度も失敗した信州戸石城を、謀略で落城させる。以降は信玄の軍師的存在として活躍した。  ,sanadarokumonsen-b.png,1
